country,code,year,cases
World,OWID_WRL,1990,0.736156
World,OWID_WRL,1991,0.801924
World,OWID_WRL,1992,0.84918
World,OWID_WRL,1993,0.872792
World,OWID_WRL,1994,0.910705
World,OWID_WRL,1995,0.889509
World,OWID_WRL,1996,0.862678
World,OWID_WRL,1997,0.832071
World,OWID_WRL,1998,0.786314
World,OWID_WRL,1999,0.737802
World,OWID_WRL,2000,0.69407
World,OWID_WRL,2001,0.653952
World,OWID_WRL,2002,0.621379
World,OWID_WRL,2003,0.593147
World,OWID_WRL,2004,0.572246
World,OWID_WRL,2005,0.551798
World,OWID_WRL,2006,0.530573
World,OWID_WRL,2007,0.513372
World,OWID_WRL,2008,0.499897
World,OWID_WRL,2009,0.486149
World,OWID_WRL,2010,0.474061
World,OWID_WRL,2011,0.461852
World,OWID_WRL,2012,0.44783
World,OWID_WRL,2013,0.431504
World,OWID_WRL,2014,0.415911
World,OWID_WRL,2015,0.400384
World,OWID_WRL,2016,0.385803
World,OWID_WRL,2017,0.365733
World,OWID_WRL,2018,0.350085
World,OWID_WRL,2019,0.332834
World,OWID_WRL,2020,0.314032
World,OWID_WRL,2021,0.296924
World,OWID_WRL,2022,0.279257
